Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000138282	Aargauer Urkunden
http://permalink.snl.ch/bib/chbsg000140943	Ackermann 1989a
http://permalink.snl.ch/bib/chbsg000140950	Ackermann 1989b
http://permalink.snl.ch/bib/chbsg000140985	Ackermann 1989c
http://permalink.snl.ch/bib/chbsg000141233	Ackermann 1991
http://permalink.snl.ch/bib/chbsg000141243	Ackermann 1994a
http://permalink.snl.ch/bib/chbsg000141254	Ackermann 1994b
http://permalink.snl.ch/bib/chbsg000112387	Ackermann 1995
http://permalink.snl.ch/bib/chbsg000103804	Ackermann 1997
http://permalink.snl.ch/bib/chbsg000059222 ; http://permalink.snl.ch/bib/chbsg000141272	Ackermann 1998
http://permalink.snl.ch/bib/chbsg000096252	Adams 1983
http://permalink.snl.ch/bib/chbsg000138265	ADB
http://permalink.snl.ch/bib/chbsg000142591	Aebi 1963
http://permalink.snl.ch/bib/chbsg000143948	Aebi 1974
http://permalink.snl.ch/bib/chbsg991001201449703977	Aebischer 1923
http://permalink.snl.ch/bib/chbsg000095734	Aebischer 1976
http://permalink.snl.ch/bib/chbsg000081977	Aeppli 1979
http://permalink.snl.ch/bib/chbsg000137721	Aerni 1974
http://permalink.snl.ch/bib/chbsg000135390	Ahlhaus 1929
http://permalink.snl.ch/bib/chbsg000136340	Aktenstücke Zürichkrieg
http://permalink.snl.ch/bib/chbsg000016930	Albertin 2000
http://permalink.snl.ch/bib/chbsg000150863	Albertin 2009
http://permalink.snl.ch/bib/chbsg000136757	Albertin 2015
http://permalink.snl.ch/bib/chbsg000138316	Allemann 1947
http://permalink.snl.ch/bib/chbsg000065118	Allenspach et al. 1988
http://permalink.snl.ch/bib/chbsg000116723	Altorfer-Ong 2010
http://permalink.snl.ch/bib/chbsg000114717	Amacher 1996
http://permalink.snl.ch/bib/chbsg000150997	Amacher 2002
http://permalink.snl.ch/bib/chbsg000063344	Amerbach-Korrespondenz
http://permalink.snl.ch/bib/chbsg000074328	Amiest 1693
http://permalink.snl.ch/bib/chbsg000139136	Ammann 1904-1913
http://permalink.snl.ch/bib/chbsg000138125	Ammann 1937
http://permalink.snl.ch/bib/chbsg000144840	Ammann 1953
http://permalink.snl.ch/bib/chbsg991001201449203977	Ammann-Doubliez et al. 2014
http://permalink.snl.ch/bib/chbsg991001212049603977	Andenmatten 1995 dans HS IX/2
http://permalink.snl.ch/bib/chbsg000073884	Andenmatten/Utz Tremp 1992
http://permalink.snl.ch/bib/chbsg000113550	Anderes 1983
http://permalink.snl.ch/bib/chbsg000079608	Angst et al. 1995
http://permalink.snl.ch/bib/chbsg000049563	Ankli 2003
http://permalink.snl.ch/bib/chbsg000044312	Ankli 2005
http://permalink.snl.ch/bib/chbsg000064449	Archiv Wettingen
http://permalink.snl.ch/bib/chbsg000049553	Aregger 2002
http://permalink.snl.ch/bib/chbsg000052617	Aregger 2007
http://permalink.snl.ch/bib/chbsg000138315	Armbrust-Schützen Ordnung
http://permalink.snl.ch/bib/chbsg000089765	Arnet 1995
http://permalink.snl.ch/bib/chbsg000139721	Aschwanden 1936
http://permalink.snl.ch/bib/chbsg991001220744303977	Audisio et al. 2004
http://permalink.snl.ch/bib/chbsg000138187	Auge 2007
http://permalink.snl.ch/bib/chbsg000072496	Augsburger-Bucheli 1988
http://permalink.snl.ch/bib/chbsg000084613	Bächtold 1982
http://permalink.snl.ch/bib/chbsg000151121	Bächtold 2007
http://permalink.snl.ch/bib/chbsg000046601	Bacon 2004
http://permalink.snl.ch/bib/chbsg000137459	Bader 1854
http://permalink.snl.ch/bib/chbsg000138413	Bader 1901
http://permalink.snl.ch/bib/chbsg000150644	Bader 1964
http://permalink.snl.ch/bib/chbsg000138336	Balimann 1995
http://permalink.snl.ch/bib/chbsg000063530	Balimann 1997
http://permalink.snl.ch/bib/chbsg000151071	Balthasar, Helvetia
http://permalink.snl.ch/bib/chbsg000138414	Baltischweiler 1905
http://permalink.snl.ch/bib/chbsg000138410	Balzer 1952
http://permalink.snl.ch/bib/chbsg000138346	Bänninger 1948
http://permalink.snl.ch/bib/chbsg000080285	Bänziger 1977
http://permalink.snl.ch/bib/chbsg000138345	Bär 1893
http://permalink.snl.ch/bib/chbsg000151392	Barbatti 1957
http://permalink.snl.ch/bib/chbsg991001204749103977	Barbey 1911
http://permalink.snl.ch/bib/chbsg991001190348503977	Barbey 1926
http://permalink.snl.ch/bib/chbsg000085423	Barrelet 1989-1993
http://permalink.snl.ch/bib/chbsg000050718	Bärtschi 2008
http://permalink.snl.ch/bib/chbsg000143756	Battenberg 1974
http://permalink.snl.ch/bib/chbsg000143773	Battenberg 2002
http://permalink.snl.ch/bib/chbsg000138340	Battenberg, Gerichtsstandsprivilegien
http://permalink.snl.ch/bib/chbsg000141678	Bauer 1937
http://permalink.snl.ch/bib/chbsg000136641	Bauhofer 1927
http://permalink.snl.ch/bib/chbsg000138341	Bauhofer 1931
http://permalink.snl.ch/bib/chbsg000136643	Bauhofer 1933
http://permalink.snl.ch/bib/chbsg000137361	Bauhofer 1935
http://permalink.snl.ch/bib/chbsg000137441	Bauhofer 1936
http://permalink.snl.ch/bib/chbsg000135555	Bauhofer 1937
http://permalink.snl.ch/bib/chbsg000135231	Bauhofer 1940
http://permalink.snl.ch/bib/chbsg000135233	Bauhofer 1943
http://permalink.snl.ch/bib/chbsg000135551	Bauhofer 1943a
http://permalink.snl.ch/bib/chbsg000135234	Bauhofer 1947
http://permalink.snl.ch/bib/chbsg000138412	Bauhofer 1950
http://permalink.snl.ch/bib/chbsg000138104	Baukultur 2003-2013
http://permalink.snl.ch/bib/chbsg000137905	Baumann 1969
http://permalink.snl.ch/bib/chbsg000013301	Baumann 2000
http://permalink.snl.ch/bib/chbsg000056430	Baumeler 2010
http://permalink.snl.ch/bib/chbsg000094914	Baumgartner 1983
http://permalink.snl.ch/bib/chbsg000108630	Baumgartner 1997
http://permalink.snl.ch/bib/chbsg000049558	Beck 2001
http://permalink.snl.ch/bib/chbsg000044220	Beck 2004
http://permalink.snl.ch/bib/chbsg000142458	Béguelin 1913
http://permalink.snl.ch/bib/chbsg000112802	Below/Breit 1998
http://permalink.snl.ch/bib/chbsg000024490	Benninger 2001
http://permalink.snl.ch/bib/chbsg991001204749203977	Berger 1963 ; Berger 1966
http://permalink.snl.ch/bib/chbsg000049532	Berger 2003
http://permalink.snl.ch/bib/chbsg000040681	Berger 2004
http://permalink.snl.ch/bib/chbsg000142780	Berger/Niederer 1897
http://permalink.snl.ch/bib/chbsg000095221	Berger-Locher 1975
http://permalink.snl.ch/bib/chbsg000142251	Bergeron 1970
http://permalink.snl.ch/bib/chbsg000151035	Bergmann 1916
http://permalink.snl.ch/bib/chbsg000143945	Bergmann, Urkunden
http://permalink.snl.ch/bib/chbsg000055179	Berner 2010
http://permalink.snl.ch/bib/chbsg000136773	Bernet 1967
http://permalink.snl.ch/bib/chbsg000136751	Bernet 1969
http://permalink.snl.ch/bib/chbsg000135552	Bersinger 1995
http://permalink.snl.ch/bib/chbsg000040808	Berwein 2003
http://permalink.snl.ch/bib/chbsg000143946	Beusch 1918
http://permalink.snl.ch/bib/chbsg000137211	Beyel, Kappeler-Krieg
http://permalink.snl.ch/bib/chbsg000136474	Beyerle 1910
http://permalink.snl.ch/bib/chbsg000138418	Biäsch, Beder-Chronik
http://permalink.snl.ch/bib/chbsg000084994	Bickel 1978
http://permalink.snl.ch/bib/chbsg000045808	Bickel 2006
http://permalink.snl.ch/bib/chbsg000045502	Bickel 2006a
http://permalink.snl.ch/bib/chbsg000044218	Bihrer 2004
http://permalink.snl.ch/bib/chbsg000141231	Bilgeri 1950
http://permalink.snl.ch/bib/chbsg000141232	Bilgeri 1964
http://permalink.snl.ch/bib/chbsg000150354	Bilgeri 1968
http://permalink.snl.ch/bib/chbsg000151122	Bilgeri 1974
http://permalink.snl.ch/bib/chbsg000082408	Bilgeri 1976
http://permalink.snl.ch/bib/chbsg000110146	Billeter 1983
http://permalink.snl.ch/bib/chbsg000149758	Binding 1993
http://permalink.snl.ch/bib/chbsg000151394	Bindschedler 1906
http://permalink.snl.ch/bib/chbsg000055157	Bitterli 2009
http://permalink.snl.ch/bib/chbsg000136733	Blass 1968
http://permalink.snl.ch/bib/chbsg000080613	Blauert 1989
http://permalink.snl.ch/bib/chbsg000085095	Blauert 1990
http://permalink.snl.ch/bib/chbsg000138307	Bless-Grabher 1995
http://permalink.snl.ch/bib/chbsg000150998	Bless-Grabher 2002
http://permalink.snl.ch/bib/chbsg000150999	Bless-Grabher 2002a
http://permalink.snl.ch/bib/chbsg000142150	Blickle 1982
http://permalink.snl.ch/bib/chbsg000076058	Blocher 1976
http://permalink.snl.ch/bib/chbsg000151036	Blöchlinger 1923
http://permalink.snl.ch/bib/chbsg000142598	Blumer 1850-1859
http://permalink.snl.ch/bib/chbsg000142775	Blumer, Urkundensammlung
http://permalink.snl.ch/bib/chbsg000135548	Bluntschli 1742
http://permalink.snl.ch/bib/chbsg000137287	Bluntschli 1834
http://permalink.snl.ch/bib/chbsg000137294	Bluntschli 1834a
http://permalink.snl.ch/bib/chbsg000137289	Bluntschli 1835
http://permalink.snl.ch/bib/chbsg000138437	Bluntschli 1838-1839
http://permalink.snl.ch/bib/chbsg000137351	Bluntschli 1848
http://permalink.snl.ch/bib/chbsg000138438	Bluntschli 1856
http://permalink.snl.ch/bib/chbsg000141147	Boari 1992
http://permalink.snl.ch/bib/chbsg000052646	Bock 2009
http://permalink.snl.ch/bib/chbsg000142466	BOCL
http://permalink.snl.ch/bib/chbsg000089165	Bodmer 1996
http://permalink.snl.ch/bib/chbsg000136694	Boesch 1955
http://permalink.snl.ch/bib/chbsg000136705	Boesch 1958
http://permalink.snl.ch/bib/chbsg000138444	Bollier 1949
http://permalink.snl.ch/bib/chbsg000135494	Bollinger 1941
http://permalink.snl.ch/bib/chbsg000135632	Bollinger 1945
http://permalink.snl.ch/bib/chbsg000096368	Bollinger 1983
http://permalink.snl.ch/bib/chbsg000074995	Bollinger 1992
http://permalink.snl.ch/bib/chbsg000142264	Borel 1898
http://permalink.snl.ch/bib/chbsg000151416	Bosshard 1998
